,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward,PopPlusDistrict,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Crimerate,Openspace,Districtcode,Combinedlifeexpectancy
582,Greenwich - Plumstead,16736.0,106.6,74.0,83.3,23.3568355640535,8.6,55.4,41.7,14.6,Greenwich,Plumstead,"16736, Greenwich",00ALHC,27.3,11.0,21.6,0.7,98.1,41.0,00AL,78.65
583,Croydon - Woodside,16743.0,75.4,79.3,80.6,24.386310697007698,7.9,55.1,28.4,6.3,Croydon,Woodside,"16743, Croydon",00AHHE,19.8,8.4,17.1,0.8,78.6,33.3,00AH,79.94999999999999
584,Redbridge - Newbury,16760.0,84.5,78.8,83.8,25.4474940334129,9.1,77.2,47.5,17.6,Redbridge,Newbury,"16760, Redbridge",00BCGP,10.0,6.5,17.4,1.1,73.4,21.4,00BC,81.3
585,Bromley - Cray Valley West,16769.0,68.2,76.6,82.6,23.6269306458346,14.9,13.9,10.9,2.5,Bromley,Cray Valley West,"16769, Bromley",00AFGN,33.5,7.1,28.5,1.1,84.7,24.2,00AF,79.6
586,Lambeth - Coldharbour,16784.0,63.0,73.1,80.0,21.5622020972355,6.1,62.1,43.7,13.3,Lambeth,Coldharbour,"16784, Lambeth",00AYGD,59.1,15.0,17.6,0.4,194.9,14.4,00AY,76.55
587,Bromley - Bromley Town,16826.0,73.4,78.0,81.1,19.3510043979555,13.9,18.5,19.9,4.9,Bromley,Bromley Town,"16826, Bromley",00AFGG,10.0,3.3,13.1,1.0,155.7,18.0,00AF,79.55
588,Croydon - Addiscombe,16883.0,64.9,76.8,81.4,18.6815139489427,9.7,43.6,34.5,10.2,Croydon,Addiscombe,"16883, Croydon",00AHGE,13.7,5.1,15.3,0.7,69.4,2.3,00AH,79.1
589,Brent - Stonebridge,16903.0,72.6,75.1,87.9,28.190262083653803,8.7,76.5,48.8,17.2,Brent,Stonebridge,"16903, Brent",00AEHA,62.3,13.7,25.9,0.6,119.9,16.3,00AE,81.5
590,Brent - Kilburn,16989.0,81.4,76.2,84.2,18.600270763435198,8.6,50.0,48.1,18.4,Brent,Kilburn,"16989, Brent",00AEGT,45.0,13.3,17.1,0.4,123.3,11.2,00AE,80.2
591,Croydon - Waddon,17077.0,74.1,74.8,80.1,22.275575335246202,11.0,44.6,30.1,8.9,Croydon,Waddon,"17077, Croydon",00AHHC,25.5,6.8,19.1,0.8,93.8,32.6,00AH,77.44999999999999
592,Barnet - Colindale,17098.0,68.6,76.4,84.6,22.2306702538309,8.4,59.9,52.7,23.2,Barnet,Colindale,"17098, Barnet",00ACGA,34.3,4.8,18.0,0.8,68.8,20.8,00AC,80.5
593,Lewisham - Brockley,17156.0,53.0,75.0,80.1,15.248309629284199,6.5,43.1,36.8,10.5,Lewisham,Brockley,"17156, Lewisham",00AZGF,30.1,8.4,11.8,0.5,118.9,13.5,00AZ,77.55
594,Brent - Harlesden,17162.0,106.9,71.9,80.6,25.8652837664608,8.0,67.0,52.9,23.0,Brent,Harlesden,"17162, Brent",00AEGQ,44.0,23.4,24.1,0.5,189.6,8.9,00AE,76.25
595,Lambeth - Larkhall,17243.0,38.8,74.0,79.2,16.6560343327727,6.2,43.3,42.2,13.0,Lambeth,Larkhall,"17243, Lambeth",00AYGJ,41.4,7.3,13.9,0.4,113.7,20.0,00AY,76.6
596,Barnet - Coppetts,17250.0,72.5,76.7,81.1,19.7101449275362,10.3,35.0,36.1,13.6,Barnet,Coppetts,"17250, Barnet",00ACGB,13.4,4.9,15.0,1.0,85.4,40.3,00AC,78.9
597,Bromley - Penge and Cator,17326.0,70.5,75.5,80.6,20.801108161145102,9.7,34.6,25.8,6.4,Bromley,Penge and Cator,"17326, Bromley",00AFGX,29.8,7.4,17.0,0.8,97.7,25.2,00AF,78.05
598,Newham - Forest Gate South,17362.0,61.8,74.6,77.2,19.410206197442697,6.5,68.2,54.8,25.5,Newham,Forest Gate South,"17362, Newham",00BBGL,26.4,9.8,17.6,0.6,111.2,2.2,00BB,75.9
599,Enfield - Upper Edmonton,17374.0,88.4,75.4,76.7,25.8432139979279,9.2,58.0,48.4,22.7,Enfield,Upper Edmonton,"17374, Enfield",00AKHG,29.8,11.7,28.3,0.8,125.1,17.6,00AK,76.05000000000001
600,Barnet - West Hendon,17402.0,85.8,78.2,84.3,19.8080680381565,11.4,50.6,53.6,24.7,Barnet,West Hendon,"17402, Barnet",00ACGS,16.8,5.0,17.8,0.9,120.5,32.0,00AC,81.25
601,Barnet - Hale,17437.0,90.5,81.2,83.8,23.1060388828354,13.4,40.6,35.7,11.7,Barnet,Hale,"17437, Barnet",00ACGJ,13.6,4.1,17.8,1.2,57.6,48.8,00AC,82.5
602,Lewisham - Lewisham Central,17446.0,67.4,71.4,77.6,18.3308494783905,8.4,51.6,41.2,12.4,Lewisham,Lewisham Central,"17446, Lewisham",00AZGQ,27.4,8.2,16.1,0.5,185.1,13.6,00AZ,74.5
603,Croydon - West Thornton,17489.0,81.5,77.6,82.5,25.050031448339,9.5,76.5,46.5,15.1,Croydon,West Thornton,"17489, Croydon",00AHHD,15.7,7.9,17.9,0.8,112.2,17.7,00AH,80.05
604,Greenwich - Woolwich Common,17499.0,100.5,73.9,85.4,26.9101091490942,5.9,57.6,41.8,13.6,Greenwich,Woolwich Common,"17499, Greenwich",00ALHF,50.0,13.4,21.8,0.6,105.3,39.4,00AL,79.65
605,Barnet - Woodhouse,17575.0,57.8,78.6,81.1,18.7482219061166,13.6,37.6,41.0,16.2,Barnet,Woodhouse,"17575, Barnet",00ACGT,11.5,4.5,15.7,1.0,92.8,19.3,00AC,79.85
606,Ealing - Greenford Broadway,17625.0,93.5,77.4,81.2,23.4439716312057,11.0,57.3,48.6,22.2,Ealing,Greenford Broadway,"17625, Ealing",00AJGK,23.4,7.6,21.9,0.9,113.5,26.2,00AJ,79.30000000000001
607,Newham - Stratford and New Town,17768.0,49.1,78.5,79.7,15.4547501125619,5.6,59.2,54.9,23.5,Newham,Stratford and New Town,"17768, Newham",00BBGU,31.8,7.0,13.9,0.4,185.7,11.2,00BB,79.1
608,Enfield - Edmonton Green,17949.0,124.1,74.8,79.6,27.973703270377197,8.4,60.6,46.8,21.4,Enfield,Edmonton Green,"17949, Enfield",00AKGQ,43.1,19.6,30.5,0.6,147.7,33.2,00AK,77.19999999999999
609,Croydon - Selhurst,18087.0,77.3,73.9,78.9,24.5535467462819,8.7,65.6,40.1,11.5,Croydon,Selhurst,"18087, Croydon",00AHGW,27.1,9.9,18.9,0.6,140.2,18.3,00AH,76.4
610,Greenwich - Glyndon,18171.0,91.0,73.2,77.4,22.8606020582246,7.1,55.0,42.2,13.8,Greenwich,Glyndon,"18171, Greenwich",00ALGX,41.4,10.5,21.4,0.6,65.6,32.6,00AL,75.30000000000001
611,Barnet - Burnt Oak,18217.0,94.3,74.7,82.1,24.5814349234232,9.3,53.5,47.1,19.3,Barnet,Burnt Oak,"18217, Barnet",00ACFY,35.5,6.9,23.6,0.8,67.8,20.2,00AC,78.4
612,Barnet - Mill Hill,18451.0,63.8,80.7,86.6,22.8171914801366,13.1,36.1,34.4,10.2,Barnet,Mill Hill,"18451, Barnet",00ACGM,12.8,3.8,14.0,1.3,82.4,59.0,00AC,83.65
613,Barnet - Hendon,18472.0,88.4,80.1,85.3,20.0844521437852,11.9,36.3,48.2,20.3,Barnet,Hendon,"18472, Barnet",00ACGK,12.1,4.7,13.5,1.0,81.9,16.4,00AC,82.69999999999999
614,Croydon - Broad Green,18652.0,83.8,75.3,83.8,25.7613124597898,7.1,68.6,46.2,16.9,Croydon,Broad Green,"18652, Croydon",00AHGH,27.5,8.3,20.2,0.7,219.7,4.5,00AH,79.55
615,Ealing - East Acton,18706.0,62.3,80.1,85.6,19.250507858441104,8.2,50.1,54.4,22.4,Ealing,East Acton,"18706, Ealing",00AJGH,22.1,7.8,15.0,0.7,144.3,19.6,00AJ,82.85
616,Barnet - Golders Green,18818.0,98.7,78.3,84.2,27.186736103730503,12.0,34.2,45.8,17.5,Barnet,Golders Green,"18818, Barnet",00ACGH,13.3,4.5,16.4,1.0,83.3,14.6,00AC,81.25
617,Greenwich - Woolwich Riverside,19120.0,84.4,73.8,80.2,23.6297071129707,6.2,49.0,39.4,13.3,Greenwich,Woolwich Riverside,"19120, Greenwich",00ALHG,50.0,10.4,19.9,0.5,137.4,34.9,00AL,77.0
618,Tower Hamlets - Blackwall and Cubitt Town,19461.0,75.1,77.4,83.4,17.804840450131,4.7,50.4,48.6,21.9,Tower Hamlets,Blackwall and Cubitt Town,"19461, Tower Hamlets",00BGFY,28.6,6.7,14.6,0.5,90.0,42.2,00BG,80.4
619,Greenwich - Thamesmead Moorings,19730.0,122.5,74.3,77.5,28.6467308667005,4.7,57.6,41.8,12.1,Greenwich,Thamesmead Moorings,"19730, Greenwich",00ALHE,38.0,9.3,18.7,0.7,94.5,55.5,00AL,75.9
620,Barnet - Childs Hill,20049.0,69.0,77.4,82.0,19.173026086089102,12.4,38.9,51.2,23.0,Barnet,Childs Hill,"20049, Barnet",00ACFZ,12.5,6.2,13.7,0.8,107.1,15.1,00AC,79.7
621,Tower Hamlets - Millwall,23084.0,58.1,83.6,95.0,15.5605614278288,3.5,47.6,52.1,23.4,Tower Hamlets,Millwall,"23084, Tower Hamlets",00BGGG,20.6,5.1,11.4,0.5,86.5,35.0,00BG,89.3
622,Redbridge - Loxford,12967.0,,,,29.0256286266925,7.5,83.5,53.2,23.7,Redbridge,Loxford,"12967, Redbridge",,,,,,,,,
623,Lambeth - Stockwell,12967.0,,,,18.3799147323543,6.9,44.3,44.9,17.8,Lambeth,Stockwell,"12967, Lambeth",,,,,,,,,
624,,,,,,,,,,,,,"14777, Lambeth",00AYGN,45.0,9.2,16.2,0.4,94.4,13.2,00AY,
625,,,,,,,,,,,,,"16544, Redbridge",00BCGL,22.8,10.7,20.1,0.7,108.0,18.3,00BC,
