,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
239,60.9,77.1,83.5,18.711103832296104,6.6,34.7,32.0,10.6,Hackney,Clissold
240,43.0,79.2,82.9,12.352652259331999,10.2,35.5,52.2,20.4,Hammersmith and Fulham,Avonmore and Brook Green
241,65.1,81.8,85.7,19.1849068931722,19.6,15.4,11.8,1.5,Croydon,Coulsdon East
242,70.6,75.5,82.0,19.216646266829898,7.8,38.1,30.3,8.3,Bromley,Crystal Palace
243,75.1,78.9,84.3,20.694999592136398,10.6,62.9,51.6,20.2,Harrow,Marlborough
244,45.4,80.6,85.2,16.5878323275159,19.7,7.3,7.3,1.7,Havering,Hacton
245,78.4,81.2,84.2,20.814995925020398,11.7,52.6,44.2,15.1,Harrow,Harrow on the Hill
246,111.6,75.1,84.8,27.451140065146603,8.4,30.5,31.4,13.1,Hackney,Lordship
247,80.8,77.2,83.2,20.8414713541667,10.9,76.6,54.7,23.9,Hounslow,Heston Central
248,83.5,85.6,86.2,20.383147982790803,10.5,77.4,56.5,26.1,Hounslow,Heston East
249,76.7,81.2,82.9,17.5229283337391,8.7,28.2,25.9,5.6,Southwark,East Dulwich
250,117.4,78.4,86.8,21.3787510137875,10.1,73.9,56.2,26.5,Hounslow,Cranford
251,82.1,77.6,83.8,20.1957295373665,12.6,27.0,23.2,7.7,Hillingdon,South Ruislip
252,65.9,76.7,81.4,19.4920737625364,11.1,37.1,36.3,10.7,Camden,Haverstock
253,77.1,77.2,81.6,21.700476844742603,7.9,21.4,27.5,9.5,Kingston upon Thames,Canbury
254,126.5,80.2,84.2,33.1879140410406,6.9,44.9,39.4,18.2,Hackney,Springfield
255,59.1,78.1,82.3,15.8612343686971,8.9,18.0,29.2,7.6,Haringey,Crouch End
256,44.6,75.4,82.9,16.2258064516129,9.1,28.1,32.8,10.6,Islington,St. George's
257,65.5,77.9,81.6,23.738106756974698,10.9,20.1,22.0,3.5,Southwark,Village
258,61.0,76.1,79.1,13.6652969140279,6.1,37.6,41.5,15.9,Tower Hamlets,St. Katherine's and Wapping
259,63.3,76.4,82.1,16.8276972624799,10.4,58.5,52.7,20.7,Harrow,Greenhill
260,87.3,79.7,82.5,22.969930857051,10.3,76.2,51.1,23.9,Hounslow,Heston West
261,50.1,74.9,85.9,15.958216151064699,7.0,39.9,36.6,13.0,Hackney,Stoke Newington Central
262,130.2,73.4,83.6,31.4969482814006,6.1,60.4,48.2,18.7,Barking and Dagenham,Gascoigne
263,46.0,87.9,91.3,12.7427379232868,9.9,44.7,64.2,34.1,Westminster,Hyde Park
264,63.2,76.9,84.5,17.9207444248356,19.4,13.7,10.9,2.1,Havering,Elm Park
265,72.9,81.1,87.2,18.362601234864897,19.6,48.4,40.1,12.5,Harrow,Canons
266,64.2,77.2,82.0,18.9953533087646,17.5,15.7,10.9,2.4,Havering,Rainham and Wennington
267,49.2,81.5,87.3,21.2764253683536,11.0,20.1,27.5,8.3,Haringey,Fortis Green
268,57.9,77.9,86.0,18.6117102004952,16.6,11.3,13.9,3.4,Greenwich,Eltham North
269,65.8,79.0,85.2,20.661025067858898,7.9,40.5,37.0,10.1,Lambeth,Thornton
270,47.0,80.8,84.5,17.233397190293697,23.5,5.6,6.0,1.1,Havering,Cranham
271,61.9,77.4,85.8,16.2586715572921,15.7,16.8,17.5,4.6,Greenwich,Eltham South
272,68.7,75.0,80.3,17.5964297099139,7.7,52.7,40.5,12.8,Hackney,Hackney Central
273,128.2,79.9,82.8,28.882160784001304,7.7,39.3,40.2,19.4,Hackney,New River
274,83.3,76.8,83.8,21.7702777998886,9.5,52.6,43.3,15.2,Westminster,Queen's Park
275,61.6,76.7,81.0,21.925218774860802,16.8,16.3,13.0,2.5,Havering,Heaton
276,68.7,81.0,85.7,20.2791656753113,14.8,64.2,40.5,12.8,Redbridge,Barkingside
277,99.6,77.9,80.7,19.3591878816718,9.3,58.7,45.7,18.4,Waltham Forest,Forest
278,56.3,79.6,84.4,15.373027828431,11.3,26.4,38.8,12.1,Camden,Camden Town with Primrose Hill
279,83.5,81.6,86.0,22.8014577721439,12.5,43.9,30.1,9.7,Hillingdon,Charville
280,56.9,76.4,84.6,19.684852324016198,7.1,44.1,35.8,7.7,Southwark,South Camberwell
281,89.8,80.2,81.1,20.8471892319873,13.1,34.9,25.1,8.2,Redbridge,Fairlop
282,60.4,79.8,82.6,17.4466403162055,17.4,10.1,9.4,2.5,Havering,Harold Wood
283,95.8,76.4,81.5,17.4435139832517,11.2,75.9,62.6,29.4,Hounslow,Hounslow West
284,57.5,74.7,83.2,18.1293941069595,8.2,31.0,32.2,10.5,Haringey,Hornsey
285,79.3,74.9,81.6,21.3622047244094,6.8,61.0,50.1,20.0,Waltham Forest,Cathall
286,83.9,77.3,80.9,22.234469726793197,11.2,35.7,31.0,12.5,Hounslow,Bedfont
287,83.4,82.3,83.9,17.4460714848055,12.0,27.8,46.3,14.0,Camden,Belsize
288,60.0,82.5,86.1,17.6095680226611,18.8,19.6,22.1,6.4,Enfield,Grange
289,69.0,73.8,78.0,21.8198918410534,9.5,52.8,51.5,24.1,Westminster,Westbourne
290,48.6,78.2,81.8,17.9153605015674,8.4,30.6,39.0,11.8,Hammersmith and Fulham,Sands End
291,55.7,82.5,84.2,19.558581826719898,18.5,19.5,13.7,1.7,Croydon,Sanderstead
292,83.3,77.5,83.0,20.524256651017197,12.9,75.4,44.5,15.1,Redbridge,Cranbrook
293,103.7,82.9,87.2,24.440794619114698,5.0,71.9,57.3,25.7,Barking and Dagenham,Abbey
294,39.4,80.7,81.6,16.6887830770432,13.2,68.8,53.3,19.8,Brent,Northwick Park
295,62.1,75.0,84.5,24.454318677892104,9.8,66.3,48.4,20.9,Harrow,Roxbourne
296,38.6,80.1,81.6,16.7770591443934,22.5,4.8,6.1,0.9,Havering,Upminster
297,65.5,78.3,83.5,23.2416854895241,7.0,60.7,45.9,14.6,Southwark,Faraday
298,43.3,77.8,82.1,15.6084656084656,6.8,24.3,33.5,7.6,Lambeth,Clapham Common
299,69.3,79.4,83.8,16.2796116504854,15.0,16.9,23.0,5.2,Greenwich,Blackheath Westcombe
300,60.0,76.8,84.0,16.422082459818302,7.5,47.6,42.6,15.4,Waltham Forest,Leytonstone
301,68.6,81.6,85.0,16.4883720930233,11.6,32.4,51.2,17.8,Camden,Swiss Cottage
302,83.7,77.6,83.5,23.113280644661398,11.9,34.4,23.3,6.4,Hillingdon,Hillingdon East
303,75.1,78.8,83.2,21.5491866769946,15.6,48.5,29.6,8.0,Redbridge,Fullwell
304,65.3,80.2,89.2,19.4192799070848,18.1,11.5,9.3,2.5,Havering,Mawneys
305,48.5,76.9,81.0,18.255012773863896,7.8,34.5,33.8,10.6,Islington,Mildmay
306,67.4,74.9,83.3,18.8839873074839,7.2,51.7,39.5,15.5,Hackney,Hackney Downs
307,60.3,74.0,80.9,19.2596027513718,7.8,40.7,32.0,11.3,Tower Hamlets,Bow West
308,43.1,77.8,84.5,17.634342186534898,16.2,9.7,7.9,1.7,Havering,Hylands
309,80.4,78.1,83.8,23.0448544738671,14.1,29.8,22.2,7.4,Redbridge,Hainault
310,59.6,81.0,83.9,17.020455422616802,20.8,8.7,7.4,1.7,Havering,Pettits
311,72.0,74.9,81.1,22.343786116033602,9.3,33.8,27.7,10.0,Hillingdon,Yiewsley
312,58.0,75.3,79.0,21.2692307692308,15.9,12.0,9.1,1.5,Havering,Havering Park
313,50.7,81.5,90.5,16.9075811164078,18.5,20.8,20.9,5.4,Enfield,Highlands
314,67.2,80.3,84.7,16.7933655839668,12.1,43.8,47.2,16.2,Brent,Brondesbury Park
315,40.3,75.6,82.8,12.8618597865315,9.4,39.8,45.6,16.3,Camden,Holborn and Covent Garden
316,86.3,80.0,84.7,18.1797252705088,12.0,54.4,46.0,15.7,Hounslow,Osterley and Spring Grove
317,75.2,79.0,83.6,18.6112387077017,16.9,18.3,15.6,3.6,Greenwich,Coldharbour and New Eltham
318,103.0,79.9,83.2,24.087535389088696,8.0,75.2,46.3,18.5,Redbridge,Goodmayes
319,73.3,78.8,90.7,19.6599362380446,7.1,53.3,40.6,10.7,Southwark,Brunswick Park
320,107.4,75.8,88.0,24.4808246172503,7.6,51.9,40.3,15.7,Waltham Forest,Higham Hill
321,63.0,81.6,89.5,17.7656510535092,16.3,11.5,9.4,1.3,Havering,Squirrel's Heath
322,46.5,93.7,88.1,11.5953012504737,8.4,33.7,64.6,32.2,Westminster,Lancaster Gate
323,55.1,78.9,82.2,17.3406027563229,7.0,47.9,41.2,16.7,Tower Hamlets,Weavers
324,56.9,84.1,83.7,19.049421024748398,15.9,24.6,16.9,2.8,Croydon,Heathfield
325,62.9,79.4,86.8,20.6409190537374,7.4,44.2,34.0,10.4,Hackney,Victoria
326,63.2,72.5,81.4,21.9543530834341,6.9,54.4,41.3,14.4,Hackney,Chatham
